tick_id,mode,n_zones_completed,n_zones_fallback,n_late_reports,n_duplicate_reports,mean_zone_latency_s,max_zone_latency_s,max_mean_ratio,total_tick_latency_s
104,async,6,2,0,0,0.0001,0.0003,0.0,0.8573
105,async,6,2,0,0,0.0001,0.0001,0.0,0.8584
106,async,6,2,0,0,0.0,0.0,0.0,0.8441
107,async,6,2,0,0,0.0,0.0,0.0,0.8522
108,async,6,2,0,0,0.0,0.0001,0.0,0.8514
109,async,6,2,0,0,0.0,0.0,0.0,0.8749
110,async,6,2,20,0,0.0001,0.0004,0.0,0.8632
111,async,6,2,0,0,0.0,0.0,0.0,0.8403
112,async,6,2,0,0,0.0,0.0001,0.0,0.838
113,async,6,2,0,0,0.0,0.0,0.0,0.8512
114,async,6,2,0,0,0.0001,0.0001,0.0,0.8521
115,async,6,2,0,0,0.0,0.0001,0.0,0.8381
116,async,6,2,0,0,0.0,0.0001,0.0,0.8516
117,async,6,2,0,0,0.0,0.0001,0.0,0.8581
118,async,6,2,0,0,0.0,0.0001,0.0,0.8445
119,async,6,2,0,0,0.0,0.0001,0.0,0.8527
120,async,6,2,20,0,0.0,0.0,0.0,0.8443
121,async,6,2,0,0,0.0,0.0,0.0,0.8491
122,async,6,2,0,0,0.0001,0.0003,0.0,0.8539
123,async,6,2,0,0,0.0001,0.0002,0.0,0.8571
124,async,6,2,0,0,0.0,0.0,0.0,0.8516
125,async,6,2,0,0,0.0,0.0001,0.0,0.8531
126,async,6,2,0,0,0.0,0.0,0.0,0.8393
127,async,6,2,0,0,0.0,0.0001,0.0,0.8413
128,async,6,2,0,0,0.0,0.0,0.0,0.8474
129,async,6,2,0,0,0.0,0.0001,0.0,0.8548
130,async,6,2,20,0,0.0,0.0001,0.0,0.8554
131,async,6,2,0,0,0.0,0.0,0.0,0.8538
132,async,6,2,0,0,0.0,0.0001,0.0,0.8491
133,async,6,2,0,0,0.0001,0.0002,0.0,0.8372
134,async,6,2,0,0,0.0,0.0001,0.0,0.857
135,async,6,2,0,0,0.0,0.0001,0.0,0.8553
136,async,6,2,0,0,0.0,0.0,0.0,0.8519
